Latitude,temperature_2m_min,pressure_msl,wind_direction_10m_dominant,Longitude,precipitation_probability_max,temperature_2m_max,TP,heuristic
5.25,24.9,1010.1708333333332,228,68.875,29,32.2,10.03484482326548,0.00053855
5.25,25.1,1010.1875,228,69.125,32,32.6,10.03484482326548,0.00055944046
5.25,24.8,1010.1875,229,69.375,85,31.4,10.03484482326548,0.0
5.25,25.6,1010.1666666666666,253,69.625,16,32.5,10.03484482326548,0.001612531
5.25,26.0,1010.1583333333332,251,69.875,55,34.0,10.03484482326548,0.0009778442
5.25,25.9,1010.1916666666666,252,70.125,16,34.9,10.03484482326548,0.0
5.25,26.0,1010.1541666666668,248,70.375,3,34.7,10.03484482326548,0.0
5.25,26.7,1010.1583333333332,246,70.625,3,34.9,10.03484482326548,0.0
5.25,26.8,1010.1833333333334,248,70.875,93,33.9,10.03484482326548,0.0012295961
5.25,25.6,1010.1791666666668,268,71.125,2,34.1,10.03484482326548,0.0
5.25,25.7,1010.1708333333332,263,71.375,16,35.5,10.03484482326548,0.0
5.25,25.8,1010.1833333333334,263,71.625,6,36.9,10.03484482326548,0.0
5.25,25.7,1010.2,259,71.875,0,36.5,10.03484482326548,0.0004070804
5.25,26.1,1010.225,256,72.125,0,36.5,10.03484482326548,0.0
5.25,26.9,1010.225,256,72.375,3,35.6,10.03484482326548,0.0009032327
5.25,25.3,1010.2625,274,72.625,50,34.8,10.03484482326548,0.0
5.25,25.2,1010.2541666666666,267,72.875,3,36.2,10.03484482326548,0.0
5.25,25.9,1010.2958333333332,269,73.125,10,37.5,10.03484482326548,0.0011065181
5.25,25.6,1010.3083333333334,268,73.375,0,37.2,10.03484482326548,0.001105646
5.25,25.6,1010.2958333333332,266,73.625,0,36.9,10.03484482326548,0.0
5.25,25.6,1010.2791666666668,260,73.875,0,36.6,10.03484482326548,0.0
5.25,26.1,1010.2833333333332,89,74.125,94,32.3,10.03484482326548,0.0
5.25,25.7,1010.275,75,74.375,29,32.3,10.03484482326548,0.0012824956
5.25,26.5,1010.2708333333334,105,74.625,90,33.7,10.03484482326548,0.0
5.25,26.7,1010.2791666666668,75,74.875,71,32.7,10.03484482326548,0.0015576018
5.25,26.8,1010.2583333333332,79,75.125,84,34.2,10.03484482326548,0.0
5.25,26.8,1010.2541666666666,267,75.375,41,35.8,10.03484482326548,0.00180719
5.25,26.1,1010.25,89,75.625,97,32.3,10.03484482326548,0.0
5.25,25.7,1010.2458333333334,75,75.875,55,32.3,10.03484482326548,0.00063946523
5.25,26.5,1010.225,105,76.125,89,33.7,10.03484482326548,0.0
5.25,26.7,1010.225,75,76.375,64,32.7,10.03484482326548,0.0017665138
5.25,26.8,1010.2208333333332,79,76.625,77,34.2,10.03484482326548,0.0
5.25,26.8,1010.1875,267,76.875,32,35.8,10.03484482326548,0.0017355711
5.25,28.0,1010.1625,128,77.125,97,29.5,10.03484482326548,0.003231691
5.25,28.0,1010.1708333333332,182,77.375,55,30.2,10.03484482326548,0.0
5.25,28.0,1010.1625,181,77.625,89,30.1,10.03484482326548,0.0
5.25,28.0,1010.1375,181,77.875,64,30.0,10.03484482326548,0.0
5.25,28.1,1010.1333333333332,126,78.125,77,30.1,10.03484482326548,0.00070639537
5.25,28.4,1010.1416666666668,176,78.375,32,30.2,10.03484482326548,0.00010975087
5.25,28.0,1010.1208333333334,158,78.625,100,29.5,10.03484482326548,0.0
5.25,28.0,1010.0958333333332,200,78.875,77,29.6,10.03484482326548,0.0
5.25,27.9,1010.1041666666666,196,79.125,100,29.5,10.03484482326548,0.0
5.25,28.1,1010.0875,193,79.375,77,29.5,10.03484482326548,0.0
5.25,28.0,1010.0833333333334,163,79.625,90,30.0,10.03484482326548,0.0049667996
5.25,28.1,1010.0375,199,79.875,55,30.2,10.03484482326548,0.0
5.25,28.0,1010.025,196,80.125,100,29.2,10.03484482326548,0.0016642166
5.25,28.2,1010.0125,209,80.375,84,29.2,10.03484482326548,0.0007696511
5.25,28.1,1009.975,204,80.625,90,28.5,10.03484482326548,0.0
5.25,28.2,1009.9541666666668,201,80.875,81,29.5,10.03484482326548,0.0013762442
5.25,28.1,1009.9208333333332,196,81.125,100,29.6,10.03484482326548,0.0014615864
5.25,28.5,1009.9041666666668,212,81.375,77,29.6,10.03484482326548,0.0
5.25,27.8,1009.8625,207,81.625,100,28.9,10.03484482326548,0.00021342286
5.25,28.1,1009.8541666666666,211,81.875,100,29.0,10.03484482326548,0.0
5.25,28.0,1009.8125,206,82.125,86,28.5,10.03484482326548,0.0005992561
5.25,28.1,1009.7791666666668,202,82.375,81,29.0,10.03484482326548,0.0007322012
5.25,28.1,1009.7416666666668,203,82.625,99,29.5,10.03484482326548,0.00018134902
5.25,28.5,1009.7166666666668,215,82.875,96,29.5,10.03484482326548,5.583742e-05
5.25,27.6,1009.7083333333334,212,83.125,100,28.5,10.03484482326548,0.000501932
5.25,28.0,1009.6916666666666,213,83.375,100,28.5,10.03484482326548,0.0
5.25,28.0,1009.6708333333332,207,83.625,94,28.5,10.03484482326548,0.0
5.25,28.0,1009.6625,203,83.875,58,28.5,10.03484482326548,0.0
5.25,28.1,1009.6541666666668,207,84.125,100,29.0,10.03484482326548,0.0
5.25,28.2,1009.6708333333332,215,84.375,100,29.0,10.03484482326548,0.0
5.25,27.9,1009.6791666666668,215,84.625,98,28.5,10.03484482326548,0.00044465464
5.25,28.0,1009.6708333333332,213,84.875,100,28.4,10.03484482326548,6.6591915e-06
5.25,27.9,1009.6916666666666,208,85.125,91,28.2,10.03484482326548,0.0
5.25,28.0,1009.7,204,85.375,58,28.4,10.03484482326548,0.0
5.25,28.0,1009.7166666666668,209,85.625,100,28.9,10.03484482326548,0.0
5.25,28.2,1009.7333333333332,215,85.875,100,28.9,10.03484482326548,5.8169364e-05
5.25,27.6,1009.7375,219,86.125,98,28.5,10.03484482326548,0.0007028587
5.25,28.0,1009.7416666666668,213,86.375,100,28.5,10.03484482326548,0.0
5.25,27.9,1009.7625,209,86.625,90,28.2,10.03484482326548,0.0
5.25,27.9,1009.7666666666668,205,86.875,45,28.4,10.03484482326548,0.0
5.25,28.0,1009.7958333333332,211,87.125,100,28.8,10.03484482326548,0.0
5.25,28.1,1009.8125,216,87.375,100,28.6,10.03484482326548,0.0
5.25,27.6,1009.8041666666668,221,87.625,100,28.5,10.03484482326548,0.00063679327
5.25,27.8,1009.8125,213,87.875,100,28.5,10.03484482326548,0.0
5.25,27.9,1009.8166666666666,209,88.125,90,28.4,10.03484482326548,0.0
5.25,27.9,1009.8166666666666,206,88.375,64,28.4,10.03484482326548,0.00033897004
5.25,28.0,1009.8416666666668,212,88.625,98,28.6,10.03484482326548,0.0
5.5,28.0,1010.1708333333332,216,68.875,100,28.5,10.03484482326548,0.0
5.5,27.6,1010.1666666666666,222,69.125,100,28.5,15.721399307270763,0.3080724
5.5,27.8,1010.1833333333334,214,69.375,98,28.5,15.545840919265377,0.2797255
5.5,27.6,1010.1541666666668,210,69.625,94,28.1,15.578390920972064,0.2823485
5.5,27.9,1010.1291666666666,206,69.875,79,28.2,15.819049312390836,0.32749155
5.5,28.0,1010.1333333333332,213,70.125,97,28.5,15.87785415009403,0.3392624
5.5,28.0,1010.1291666666666,216,70.375,100,28.5,15.754805434081655,0.31480694
5.5,27.6,1010.1291666666666,224,70.625,100,28.2,15.808962904472288,0.3230156
5.5,27.6,1010.1375,215,70.875,97,28.4,16.04032656126593,0.37014604
5.5,27.9,1010.1625,212,71.125,97,28.0,16.08748309950132,0.36998355
5.5,27.8,1010.1708333333332,208,71.375,97,28.1,15.950432519178456,0.34973317
5.5,28.0,1010.1875,213,71.625,97,28.4,16.024624295175997,0.36626545
5.5,28.0,1010.1833333333334,216,71.875,100,28.4,16.310058427493942,0.42541298
5.5,27.5,1010.1958333333332,225,72.125,100,28.2,16.288407826343775,0.4185707
5.5,27.6,1010.2166666666668,215,72.375,100,28.4,15.959672491725502,0.35195014
5.5,27.9,1010.2375,213,72.625,100,28.1,16.016038106929606,0.36396503
5.5,27.9,1010.2458333333334,208,72.875,97,28.1,16.45750467195609,0.45737636
5.5,28.0,1010.2625,213,73.125,90,28.4,14.7602570971334,0.15071623
5.5,28.0,1010.2708333333334,216,73.375,92,28.4,10.924295382461535,0.0
5.5,27.5,1010.2666666666668,226,73.625,100,28.1,8.964520766937316,0.0
5.5,27.6,1010.275,216,73.875,100,28.2,8.880933250560734,0.0
5.5,27.8,1010.2791666666668,213,74.125,100,28.1,8.877539692498173,0.0
5.5,27.8,1010.25,209,74.375,97,28.1,8.954340092749636,0.0
5.5,27.9,1010.2375,213,74.625,87,28.2,8.991434629328268,0.0022378035
5.5,28.0,1010.2333333333332,217,74.875,94,28.4,8.98882330223407,0.0
5.5,27.5,1010.25,227,75.125,100,28.1,8.98599500287376,0.0
5.5,27.6,1010.2291666666666,216,75.375,94,28.1,8.98294973124734,0.0
5.5,27.8,1010.2291666666666,213,75.625,100,28.0,8.97978678938252,0.0016147112
5.5,27.6,1010.2083333333334,210,75.875,100,28.1,8.976506177279296,0.0
5.5,27.9,1010.1875,213,76.125,71,28.4,8.973120099288666,0.0
5.5,28.0,1010.2041666666668,216,76.375,77,28.2,8.969628555410628,0.0
5.5,27.6,1010.1666666666666,227,76.625,98,28.0,10.963785665861778,0.0
5.5,27.8,1010.15,217,76.875,100,28.2,14.955591430642116,0.1782603
5.5,27.8,1010.1291666666666,213,77.125,100,28.0,16.893851986266064,0.5623497
5.5,27.6,1010.1291666666666,210,77.375,100,28.1,16.77856733273363,0.5224831
5.5,27.9,1010.1291666666666,213,77.625,84,28.2,16.8047090749461,0.5427478
5.5,27.9,1010.1,216,77.875,81,28.4,16.97227721290348,0.58616585
5.5,27.8,1010.1,228,78.125,98,28.0,17.078908960060136,0.6068947
5.5,27.8,1010.1041666666666,217,78.375,97,28.1,17.124604316416065,0.6117736
5.5,27.6,1010.0833333333334,213,78.625,100,28.0,17.17581257280751,0.63158417
5.5,27.5,1010.0625,210,78.875,100,28.1,17.23253372923446,0.6492346
5.5,27.9,1010.0833333333334,213,79.125,93,28.2,17.29221685514475,0.6541613
5.5,27.9,1010.05,215,79.375,94,28.4,17.354861950538375,0.67525136
5.5,27.5,1010.025,229,79.625,100,28.0,16.532701265487983,0.47719836
5.5,27.8,1009.9791666666666,217,79.875,100,28.1,14.825734799993576,0.15675092
5.5,27.5,1009.9791666666666,214,80.125,100,28.0,13.994252321634152,0.06038166
5.5,27.2,1009.9583333333334,210,80.375,99,28.1,14.038253830409708,0.06334039
5.5,27.9,1009.9375,214,80.625,97,28.2,14.075656621796083,0.07420684
5.5,27.8,1009.8833333333332,214,80.875,100,28.2,14.106460695793285,0.074482575
5.5,27.2,1009.8458333333332,230,81.125,100,28.0,14.133497614650592,0.07481344
5.5,27.6,1009.825,216,81.375,100,28.1,14.156767378368007,0.076233454
